axis:latitude,axis:longitude,axis:reftime,axis:time,axis:z,data:vgrd_m
33.5,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.847900390625
33.5,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.6879003047943115
33.5,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.097900390625
33.5,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.38790038228034973
33.5,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,0.002099609235301614
33.5,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.5779003500938416
33.5,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.5779003500938416
33.5,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,0.2820996046066284
33.5,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.962099552154541
33.25,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.427900314331055
33.25,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.497900009155273
33.25,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.247900485992432
33.25,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.987900257110596
33.25,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.72790002822876
33.25,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.107900142669678
33.25,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.667900085449219
33.25,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.527900218963623
33.25,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.137900352478027
33.25,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.157900333404541
33.25,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.287900447845459
33.25,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-1.9279003143310547
33.25,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-1.247900366783142
33.25,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-1.3979003429412842
33.25,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-1.2979003190994263
33.25,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.4179003834724426
33.25,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,1.3920996189117432
33.0,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.417900085449219
33.0,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.307900428771973
33.0,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.957900047302246
33.0,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.837900161743164
33.0,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.72790002822876
33.0,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.347900390625
33.0,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.927900314331055
33.0,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.717900276184082
33.0,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.027900218963623
33.0,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.2979001998901367
33.0,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.9379003047943115
33.0,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.917900323867798
33.0,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.5079002380371094
33.0,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.1379003524780273
33.0,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-1.8879003524780273
33.0,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-1.4879003763198853
33.0,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-1.2079004049301147
32.75,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.047900199890137
32.75,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.967900276184082
32.75,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.807900428771973
32.75,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.907900333404541
32.75,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.897900104522705
32.75,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.607900142669678
32.75,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.017900466918945
32.75,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.437900066375732
32.75,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.047900199890137
32.75,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.907900333404541
32.75,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.597900390625
32.75,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.3779003620147705
32.75,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.227900266647339
32.75,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.9979002475738525
32.75,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.917900323867798
32.75,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.107900381088257
32.75,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.707900285720825
32.5,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.197900295257568
32.5,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.137900352478027
32.5,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.137900352478027
32.5,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.177900314331055
32.5,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.927900314331055
32.5,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.427900314331055
32.5,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.937900066375732
32.5,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.687900066375732
32.5,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.347900390625
32.5,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.097900390625
