axis:latitude,axis:longitude,axis:reftime,axis:time,axis:z,data:ugrd_m
33.75,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,7.611527919769287
33.75,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,7.6915283203125
33.75,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,7.731528282165527
33.75,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.0315282344818115
33.75,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.7915282249450684
33.75,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.471528053283691
33.75,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.751528263092041
33.75,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.8315281867980957
33.75,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.8415281772613525
33.75,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.7715282440185547
33.75,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.9415283203125
33.75,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.521528244018555
33.5,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.66152811050415
33.5,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.051527976989746
33.5,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.621528148651123
33.5,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.271528244018555
33.5,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.9415283203125
33.5,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,7.391528129577637
33.5,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,7.761528015136719
33.5,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,7.481528282165527
33.5,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.221528053283691
33.5,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.431528091430664
33.5,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.201528072357178
33.5,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.281527996063232
33.5,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.871528148651123
33.5,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.221528053283691
33.5,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.88152813911438
33.5,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.2315282821655273
33.5,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.6915283203125
33.25,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.461528301239014
33.25,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.931528091430664
33.25,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.171528339385986
33.25,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.481528282165527
33.25,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,5.931528091430664
33.25,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.361528396606445
33.25,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,6.771528244018555
33.25,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,7.111528396606445
